VENDOR	CODE	BARCODE	BARCODE_DISPLAY	NAME_KR	NAME_EN	SIZE
Hanmi	15781	087703157811	0 87703 15781 1	요고베라,망고	SOFT DRINK WITH ALOE (YOGOVERA MANGO)	20/16.89FLOZ(500ML)
Hanmi	15778	087703157781	0 87703 15778 1	요고베라,망고	SOFT DRINK WITH ALOE (YOGOVERA MANGO)	12/50.67FLOZ(1.5L)
Hanmi	16492	087703164925	0 87703 16492 5	요고베라,코코넛	SOFT DRINK WITH ALOE (YOGOVERA COCONUT)	20/16.89FLOZ(500ML)
Hanmi	16491	087703164918	0 87703 16491 8	요고베라,코코넛	SOFT DRINK WITH ALOE (YOGOVERA COCONUT)	12/50.67FLOZ(1.5L)
Hanmi	15780	087703157804	0 87703 15780 4	요고베라,파인애플	SOFT DRINK WITH ALOE (YOGOVERA PINEAPPLE)	20/16.89FLOZ(500ML)
Hanmi	14781	087703147812	0 87703 14781 2	요고베라,파인애플	SOFT DRINK WITH ALOE (YOGOVERA PINEAPPLE)	12/50.7FLOZ(1.5L)
Hanmi	16713	087703167131	0 87703 16713 1	요고베라,딸기	SOFT DRINK WITH ALOE (YOGOVERA STRAWBERRY)	20/16.89FLOZ(500ML)
Hanmi	16680	087703166806	0 87703 16680 6	요고베라,딸기	SOFT DRINK WITH ALOE (YOGOVERA STRAWBERRY)	12/50.67FLOZ(1.5L)
Hanmi	15782	087703157828	0 87703 15782 8	요고베라,복숭아	SOFT DRINK WITH ALOE (YOGOVERA PEACH)	20/16.89FLOZ(500ML)
Hanmi	14780	087703147805	0 87703 14780 5	요고베라,복숭아	SOFT DRINK WITH ALOE (YOGOVERA PEACH)	12/50.67FLOZ(1.5L)
Hanmi	16681	087703166813	0 87703 16681 3	요고베라,메론	SOFT DRINK WITH ALOE (YOGOVERA MELON)	20/16.89FLOZ(500ML)
Hanmi	16682	087703166820	0 87703 16682 0	요고베라,메론	SOFT DRINK WITH ALOE (YOGOVERA MELON)	12/50.67FLOZ(1.5L)
Hanmi	34112	087703341128	0 87703 34112 8	요고베라,수박	SOFT DRINK WITH ALOE (YOGOVERA WATERMELON)	20/16.89FLOZ(500ML)
Hanmi	32534	087703325340	0 87703 32534 0	요고베라,수박	SOFT DRINK WITH ALOE (YOGOVERA WATERMELON)	12/50.67FLOZ(1.5L)
Hanmi	05430	087703054301	0 87703 05430 1	요고베라，패션후르츠	SOFT DRINK WITH ALOE (YOGOVERA PASSION FRUIT)	20/16.89FLOZ(500ML)
